activity,ambience,budget,color,dress_preference,drink_level,height,hijos,interest,user_latitude,user_longitude,marital_status,personality,religion,smoker,transport,weight,Rambience,accessibility,address,alcohol,area,rest_city,country,dress_code,fax,franchise,rest_latitude,rest_longitude,rest_name,other_services,price,smoking_area,state,url,zip,user_age,target_exitoso
student,family,medium,green,no preference,abstemious,1.73,independent,technology,22.23712450000015,-99.168605,single,thrifty-protector,Christian,False,public,92,familiar,completely,?,No_Alcohol_Served,closed,Ciudad Victoria,Mexico,informal,?,t,22.17655535,-100.8445762,Little Cesarz,none,medium,not permitted,Tamaulipas,?,?,38,0
student,family,medium,green,no preference,abstemious,1.73,independent,technology,22.23712450000015,-99.168605,single,thrifty-protector,Christian,False,public,92,familiar,completely,Calle Mezquite Fracc Framboyanes,No_Alcohol_Served,open,Cd Victoria,Mexico,casual,?,f,22.17655535,-100.8445762,Taqueria EL amigo,none,low,none,Tamaulipas,?,87018,38,0
student,family,medium,green,no preference,abstemious,1.73,independent,technology,22.23712450000015,-99.168605,single,thrifty-protector,Christian,False,public,92,familiar,completely,blvrd emilio portes gil,No_Alcohol_Served,closed,victoria,?,informal,?,f,22.17655535,-100.8445762,palomo tec,none,low,none,tamaulipas,?,?,38,0
student,family,medium,green,no preference,abstemious,1.73,independent,technology,22.23712450000015,-99.168605,single,thrifty-protector,Christian,False,public,92,familiar,completely,?,Full_Bar,closed,?,?,informal,?,t,22.17655535,-100.8445762,vips,variety,medium,not permitted,?,?,?,38,0
student,family,medium,green,no preference,abstemious,1.73,independent,technology,22.23712450000015,-99.168605,single,thrifty-protector,Christian,False,public,92,familiar,no_accessibility,frente al tecnologico,No_Alcohol_Served,open,victoria,mexico,informal,?,f,22.17655535,-100.8445762,puesto de gorditas,none,low,permitted,tamaulipas,?,?,38,0
professional,friends,medium,green,formal,abstemious,1.9,independent,technology,22.23712450000015,-99.16859,single,hard-worker,Jewish,False,public,97,familiar,completely,?,No_Alcohol_Served,closed,?,?,informal,?,t,22.17655535,-100.8445762,Gorditas Dona Tota,none,medium,not permitted,?,?,?,36,0
professional,friends,medium,green,formal,abstemious,1.9,independent,technology,22.23712450000015,-99.16859,single,hard-worker,Jewish,False,public,97,familiar,completely,Calle Mezquite Fracc Framboyanes,No_Alcohol_Served,open,Cd Victoria,Mexico,casual,?,f,22.17655535,-100.8445762,Taqueria EL amigo,none,low,none,Tamaulipas,?,87018,36,0
professional,friends,medium,green,formal,abstemious,1.9,independent,technology,22.23712450000015,-99.16859,single,hard-worker,Jewish,False,public,97,familiar,completely,blvrd emilio portes gil,No_Alcohol_Served,closed,victoria,?,informal,?,f,22.17655535,-100.8445762,palomo tec,none,low,none,tamaulipas,?,?,36,0
professional,friends,medium,green,formal,abstemious,1.9,independent,technology,22.23712450000015,-99.16859,single,hard-worker,Jewish,False,public,97,familiar,completely,lic. Emilio portes gil,No_Alcohol_Served,closed,victoria,Mexico,informal,?,t,22.17655535,-100.8445762,carnitas_mata,none,medium,permitted,Tamaulipas,?,?,36,1
professional,friends,medium,green,formal,abstemious,1.9,independent,technology,22.23712450000015,-99.16859,single,hard-worker,Jewish,False,public,97,familiar,completely,calle emilio portes gil,No_Alcohol_Served,closed,victoria,?,informal,?,t,22.17655535,-100.8445762,little pizza Emilio Portes Gil,none,low,none,tamaulipas,?,?,36,0
professional,friends,medium,green,formal,abstemious,1.9,independent,technology,22.23712450000015,-99.16859,single,hard-worker,Jewish,False,public,97,familiar,completely,?,Full_Bar,closed,?,?,informal,?,t,22.17655535,-100.8445762,vips,variety,medium,not permitted,?,?,?,36,0
professional,friends,medium,green,formal,abstemious,1.9,independent,technology,22.23712450000015,-99.16859,single,hard-worker,Jewish,False,public,97,familiar,completely,?,No_Alcohol_Served,closed,victoria,mexico,informal,?,f,22.17655535,-100.8445762,tacos abi,none,low,none,tamaulipas,?,?,36,0
professional,friends,medium,green,formal,abstemious,1.9,independent,technology,22.23712450000015,-99.16859,single,hard-worker,Jewish,False,public,97,familiar,completely,?,No_Alcohol_Served,closed,Ciudad Victoria,Mexico,informal,?,t,22.17655535,-100.8445762,Little Cesarz,none,medium,not permitted,Tamaulipas,?,?,36,1
?,friends,high,blue,no preference,abstemious,1.79,independent,variety,22.23712450000015,-99.171889,single,hard-worker,Catholic,False,car owner,87,familiar,completely,Emilio Portes Gil,No_Alcohol_Served,closed,victoria,?,informal,?,f,22.17655535,-100.8445762,carnitas mata calle Emilio Portes Gil,none,low,none,tamaulipas,?,?,36,1
?,friends,high,blue,no preference,abstemious,1.79,independent,variety,22.23712450000015,-99.171889,single,hard-worker,Catholic,False,car owner,87,familiar,completely,?,No_Alcohol_Served,closed,?,?,informal,?,t,22.17655535,-100.8445762,Gorditas Dona Tota,none,medium,not permitted,?,?,?,36,1
?,friends,high,blue,no preference,abstemious,1.79,independent,variety,22.23712450000015,-99.171889,single,hard-worker,Catholic,False,car owner,87,familiar,completely,?,No_Alcohol_Served,closed,Ciudad Victoria,Mexico,informal,?,t,22.17655535,-100.8445762,Little Cesarz,none,medium,not permitted,Tamaulipas,?,?,36,1
professional,family,medium,orange,informal,social drinker,1.73,kids,variety,22.078728499999755,-99.260789,married,thrifty-protector,Catholic,True,car owner,85,quiet,no_accessibility,Interior Internado Palmira SN,No_Alcohol_Served,closed,Cuernavaca,Mexico,informal,?,f,22.122991749999997,-100.8445762,Cafeteria cenidet,none,low,not permitted,Morelos,www.cenidet.edu.mx,?,44,1
professional,family,medium,orange,informal,social drinker,1.73,kids,variety,22.078728499999755,-99.260789,married,thrifty-protector,Catholic,True,car owner,85,familiar,partially,Rayon sn col. Centro,No_Alcohol_Served,closed,Cuernavaca,Mexico,informal,?,t,22.122991749999997,-100.8445762,McDonalds Centro,none,low,not permitted,Morelos,no,62000,44,0
student,friends,low,green,informal,casual drinker,1.6,independent,variety,22.23712450000015,-99.166868,single,thrifty-protector,Catholic,False,public,47,quiet,completely,cd. mier,No_Alcohol_Served,open,victoria,Mexico,informal,?,t,22.17655535,-100.8445762,Hamburguesas La perica,none,low,permitted,Tamaulipas,?,?,34,1
student,friends,low,green,informal,casual drinker,1.6,independent,variety,22.23712450000015,-99.166868,single,thrifty-protector,Catholic,False,public,47,quiet,completely,tampico,No_Alcohol_Served,closed,victoria,Mexico,informal,?,t,22.17655535,-100.8445762,Pollo_Frito_Buenos_Aires,none,low,not permitted,Tamaulipas,?,?,34,0
student,friends,low,green,informal,casual drinker,1.6,independent,variety,22.23712450000015,-99.166868,single,thrifty-protector,Catholic,False,public,47,familiar,completely,lic. Emilio portes gil,No_Alcohol_Served,closed,victoria,Mexico,informal,?,t,22.17655535,-100.8445762,carnitas_mata,none,medium,permitted,Tamaulipas,?,?,34,0
unemployed,solitary,medium,white,informal,abstemious,1.6,kids,none,22.23712450000015,-99.159851,married,hard-worker,Catholic,False,?,40,familiar,completely,?,No_Alcohol_Served,closed,victoria,mexico,informal,?,f,22.17655535,-100.8445762,tacos abi,none,low,none,tamaulipas,?,?,33,0
unemployed,solitary,medium,white,informal,abstemious,1.6,kids,none,22.23712450000015,-99.159851,married,hard-worker,Catholic,False,?,40,familiar,completely,?,No_Alcohol_Served,closed,victoria,mexico,informal,?,f,22.17655535,-100.8445762,TACOS CORRECAMINOS,none,low,none,tamaulipas,?,?,33,0
unemployed,solitary,medium,white,informal,abstemious,1.6,kids,none,22.23712450000015,-99.159851,married,hard-worker,Catholic,False,?,40,familiar,completely,?,No_Alcohol_Served,closed,victoria,mexico,informal,?,f,22.17655535,-100.8445762,TACOS EL GUERO,none,low,none,tamaulipas,?,?,33,0
student,friends,medium,black,informal,abstemious,1.69,?,variety,22.23712450000015,-99.166095,single,hard-worker,Catholic,True,public,63,familiar,completely,blvrd emilio portes gil,No_Alcohol_Served,closed,victoria,?,informal,?,f,22.17655535,-100.8445762,palomo tec,none,low,none,tamaulipas,?,?,36,0
student,friends,low,blue,informal,casual drinker,1.79,independent,none,22.23712450000015,-99.166589,single,hard-worker,Catholic,False,car owner,97,quiet,no_accessibility,?,No_Alcohol_Served,open,?,?,informal,?,f,22.17655535,-100.8445762,tacos de la estacion,none,low,none,?,?,?,37,0
student,friends,low,blue,informal,casual drinker,1.79,independent,none,22.23712450000015,-99.166589,single,hard-worker,Catholic,False,car owner,97,familiar,partially,?,No_Alcohol_Served,closed,?,?,informal,?,f,22.17655535,-100.8445762,tortas hawai,none,medium,not permitted,?,?,?,37,0
student,friends,medium,black,informal,abstemious,1.69,?,variety,22.23712450000015,-99.166095,single,hard-worker,Catholic,True,public,63,familiar,completely,lic. Emilio portes gil,No_Alcohol_Served,closed,victoria,Mexico,informal,?,t,22.17655535,-100.8445762,carnitas_mata,none,medium,permitted,Tamaulipas,?,?,36,0
student,friends,medium,black,informal,abstemious,1.69,?,variety,22.23712450000015,-99.166095,single,hard-worker,Catholic,True,public,63,familiar,completely,?,No_Alcohol_Served,open,?,?,informal,?,f,22.17655535,-100.8445762,tacos de barbacoa enfrente del Tec,none,low,not permitted,?,?,?,36,0
student,friends,medium,black,informal,abstemious,1.69,?,variety,22.23712450000015,-99.166095,single,hard-worker,Catholic,True,public,63,quiet,completely,cd. mier,No_Alcohol_Served,open,victoria,Mexico,informal,?,t,22.17655535,-100.8445762,Hamburguesas La perica,none,low,permitted,Tamaulipas,?,?,36,0
student,friends,medium,black,informal,abstemious,1.69,?,variety,22.23712450000015,-99.166095,single,hard-worker,Catholic,True,public,63,quiet,completely,tampico,No_Alcohol_Served,closed,victoria,Mexico,informal,?,t,22.17655535,-100.8445762,Pollo_Frito_Buenos_Aires,none,low,not permitted,Tamaulipas,?,?,36,0
student,friends,medium,black,informal,abstemious,1.69,?,variety,22.23712450000015,-99.166095,single,hard-worker,Catholic,True,public,63,familiar,completely,?,No_Alcohol_Served,closed,victoria,mexico,informal,?,f,22.17655535,-100.8445762,tacos abi,none,low,none,tamaulipas,?,?,36,0
student,friends,medium,black,informal,abstemious,1.69,?,variety,22.23712450000015,-99.166095,single,hard-worker,Catholic,True,public,63,familiar,no_accessibility,frente al tecnologico,No_Alcohol_Served,open,victoria,mexico,informal,?,f,22.17655535,-100.8445762,puesto de gorditas,none,low,permitted,tamaulipas,?,?,36,0
student,family,medium,blue,formal,casual drinker,1.84,independent,technology,22.23712450000015,-99.158864,single,thrifty-protector,Catholic,False,public,82,familiar,completely,?,No_Alcohol_Served,closed,?,?,informal,?,f,22.17655535,-100.8445762,churchs,none,low,none,?,?,?,34,1
student,family,medium,blue,formal,casual drinker,1.84,independent,technology,22.23712450000015,-99.158864,single,thrifty-protector,Catholic,False,public,82,familiar,partially,?,No_Alcohol_Served,closed,?,?,informal,?,f,22.17655535,-100.8445762,tortas hawai,none,medium,not permitted,?,?,?,34,1
student,family,medium,blue,formal,casual drinker,1.84,independent,technology,22.23712450000015,-99.158864,single,thrifty-protector,Catholic,False,public,82,familiar,completely,?,No_Alcohol_Served,closed,Ciudad Victoria,Mexico,informal,?,t,22.17655535,-100.8445762,Little Cesarz,none,medium,not permitted,Tamaulipas,?,?,34,1
student,family,medium,blue,formal,casual drinker,1.84,independent,technology,22.23712450000015,-99.158864,single,thrifty-protector,Catholic,False,public,82,familiar,completely,?,No_Alcohol_Served,open,Ciudad Victoria,Mexico,informal,?,f,22.17655535,-100.8445762,Carreton de Flautas y Migadas,none,low,permitted,Tamaulipas,?,?,34,0
student,family,medium,black,informal,social drinker,1.67,independent,technology,22.12676,-100.905209,single,thrifty-protector,Catholic,True,public,87,familiar,no_accessibility,De La Estrella 2005 Estrella de Oriente,Full_Bar,closed,San Luis Potosi,Mexico,informal,?,f,22.126375,-100.910926,Restaurante la Cantina,none,medium,section,SLP,?,78396,36,0
student,family,medium,green,informal,abstemious,1.75,independent,technology,22.23712450000015,-99.168567,single,hard-worker,Catholic,False,?,97,familiar,completely,?,No_Alcohol_Served,closed,Ciudad Victoria,Mexico,informal,?,t,22.17655535,-100.8445762,Little Cesarz,none,medium,not permitted,Tamaulipas,?,?,38,0
student,family,medium,green,informal,abstemious,1.75,independent,technology,22.23712450000015,-99.168567,single,hard-worker,Catholic,False,?,97,quiet,completely,cd. mier,No_Alcohol_Served,open,victoria,Mexico,informal,?,t,22.17655535,-100.8445762,Hamburguesas La perica,none,low,permitted,Tamaulipas,?,?,38,0
student,family,medium,green,informal,abstemious,1.75,independent,technology,22.23712450000015,-99.168567,single,hard-worker,Catholic,False,?,97,familiar,completely,?,Full_Bar,closed,?,?,informal,?,t,22.17655535,-100.8445762,vips,variety,medium,not permitted,?,?,?,38,1
student,family,medium,green,informal,abstemious,1.75,independent,technology,22.23712450000015,-99.168567,single,hard-worker,Catholic,False,?,97,familiar,completely,?,No_Alcohol_Served,closed,?,?,informal,?,t,22.17655535,-100.8445762,Gorditas Dona Tota,none,medium,not permitted,?,?,?,38,0
student,family,medium,green,informal,abstemious,1.75,independent,technology,22.23712450000015,-99.168567,single,hard-worker,Catholic,False,?,97,familiar,completely,calle emilio portes gil,No_Alcohol_Served,closed,victoria,?,informal,?,t,22.17655535,-100.8445762,little pizza Emilio Portes Gil,none,low,none,tamaulipas,?,?,38,0
student,family,medium,green,informal,abstemious,1.75,independent,technology,22.23712450000015,-99.168567,single,hard-worker,Catholic,False,?,97,familiar,completely,?,No_Alcohol_Served,open,Ciudad Victoria,Mexico,informal,?,f,22.17655535,-100.8445762,Carreton de Flautas y Migadas,none,low,permitted,Tamaulipas,?,?,38,0
student,family,medium,green,informal,abstemious,1.75,independent,technology,22.23712450000015,-99.168567,single,hard-worker,Catholic,False,?,97,familiar,completely,lic. Emilio portes gil,No_Alcohol_Served,closed,victoria,Mexico,informal,?,t,22.17655535,-100.8445762,carnitas_mata,none,medium,permitted,Tamaulipas,?,?,38,0
student,family,medium,green,informal,abstemious,1.75,independent,technology,22.23712450000015,-99.168567,single,hard-worker,Catholic,False,?,97,familiar,completely,?,No_Alcohol_Served,open,?,?,informal,?,f,22.17655535,-100.8445762,tacos de barbacoa enfrente del Tec,none,low,not permitted,?,?,?,38,0
student,family,medium,purple,no preference,social drinker,1.62,dependent,none,22.23712450000015,-99.171883,single,hard-worker,Catholic,False,car owner,97,familiar,completely,?,No_Alcohol_Served,open,Ciudad Victoria,Mexico,informal,?,f,22.17655535,-100.8445762,Carreton de Flautas y Migadas,none,low,permitted,Tamaulipas,?,?,41,1
student,family,medium,red,formal,abstemious,1.55,independent,technology,22.23712450000015,-99.133,single,hunter-ostentatious,Catholic,False,public,49,familiar,completely,?,No_Alcohol_Served,closed,victoria,?,informal,?,t,22.17655535,-100.8445762,la perica hamburguesa,none,medium,none,tamaulipas,?,?,36,1
student,family,medium,purple,no preference,social drinker,1.62,dependent,none,22.23712450000015,-99.171883,single,hard-worker,Catholic,False,car owner,97,familiar,completely,?,No_Alcohol_Served,closed,victoria,mexico,informal,?,f,22.17655535,-100.8445762,TACOS EL GUERO,none,low,none,tamaulipas,?,?,41,1
student,family,medium,purple,no preference,social drinker,1.62,dependent,none,22.23712450000015,-99.171883,single,hard-worker,Catholic,False,car owner,97,quiet,no_accessibility,?,No_Alcohol_Served,open,?,?,informal,?,f,22.17655535,-100.8445762,tacos de la estacion,none,low,none,?,?,?,41,1
professional,family,medium,orange,informal,social drinker,1.73,kids,variety,22.078728499999755,-99.260789,married,thrifty-protector,Catholic,True,car owner,85,familiar,no_accessibility,Rio Mayo Colonia Vista Hermosa Esq. Rio Balsas,Wine-Beer,closed,Cuernavaca,Mexico,informal,?,f,22.122991749999997,-100.8445762,Chilis Cuernavaca,none,medium,none,Morelos,chilis.com.mx,62290,44,0
?,?,?,yellow,?,abstemious,1.6,?,none,22.13392,-101.028373,?,hard-worker,none,False,?,40,familiar,no_accessibility,Cordillera de Los Alpes 160 Lomas 2 Seccion,No_Alcohol_Served,closed,San Luis Potosi,Mexico,informal,?,f,22.140517,-101.021422,Michiko Restaurant Japones,none,medium,none,SLP,?,78210,44,1
?,?,?,yellow,?,abstemious,1.6,?,none,22.13392,-101.028373,?,hard-worker,none,False,?,40,familiar,completely,?,Full_Bar,closed,?,Mexico,informal,?,f,22.1489337,-101.019844999999,Gordas de morales,none,medium,section,San Luis Potosi,?,?,44,0
?,?,?,yellow,?,abstemious,1.6,?,none,22.13392,-101.028373,?,hard-worker,none,False,?,40,familiar,no_accessibility,Agricultura 595 del Valle,No_Alcohol_Served,closed,San Luis Potosi,Mexico,informal,?,f,22.141282,-101.002957999999,Restaurante El Reyecito,none,medium,none,SLP,reyecito.com,78200,44,1
student,solitary,medium,blue,informal,abstemious,1.81,independent,technology,22.143524,-100.987562,single,thrifty-protector,Catholic,False,public,76,familiar,no_accessibility,Himno Nacional 2104 Tangamanga,No_Alcohol_Served,closed,San Luis Potosi,Mexico,informal,?,f,22.139573,-100.991564,Mariscos El Pescador,none,medium,none,SLP,?,78269,42,1
student,solitary,medium,blue,informal,abstemious,1.81,independent,technology,22.143524,-100.987562,single,thrifty-protector,Catholic,False,public,76,familiar,completely,?,No_Alcohol_Served,closed,San Luis Potosi,Mexico,informal,?,f,22.1416471,-100.9927118,Cafe Chaires,none,low,not permitted,San Luis Potosi,?,?,42,0
student,solitary,medium,blue,informal,abstemious,1.81,independent,technology,22.143524,-100.987562,single,thrifty-protector,Catholic,False,public,76,familiar,no_accessibility,Venustiano Carranza 303 Centro,Wine-Beer,closed,San Luis Potosi,Mexico,informal,?,f,22.149689,-100.999525,Restaurante la Parroquia Potosina,none,high,section,SLP,?,78000,42,1
student,solitary,medium,blue,informal,abstemious,1.81,independent,technology,22.143524,-100.987562,single,thrifty-protector,Catholic,False,public,76,familiar,no_accessibility,Av. Carranza 830,Wine-Beer,closed,San Luis Potosi,Mexico,informal,?,f,22.146658,-100.987219,La Virreina,none,medium,none,SLP,?,?,42,0
student,solitary,medium,blue,informal,abstemious,1.81,independent,technology,22.143524,-100.987562,single,thrifty-protector,Catholic,False,public,76,familiar,no_accessibility,Venustiano Carranza 719 Centro,No_Alcohol_Served,closed,San Luis Potosi,Mexico,informal,?,f,22.150802,-100.98268,Tortas Locas Hipocampo,none,medium,not permitted,SLP,?,78000,42,0
student,solitary,medium,blue,informal,abstemious,1.81,independent,technology,22.143524,-100.987562,single,thrifty-protector,Catholic,False,public,76,familiar,no_accessibility,Constitucion 200 Centro,Wine-Beer,closed,San Luis Potosi,Mexico,informal,?,f,22.1524809999999,-100.973486,Cafeteria y Restaurant El Pacifico,none,medium,section,SLP,?,78000,42,1
student,solitary,medium,blue,informal,abstemious,1.81,independent,technology,22.143524,-100.987562,single,thrifty-protector,Catholic,False,public,76,familiar,no_accessibility,Lateral Salvador Nava Martinez 3145,No_Alcohol_Served,closed,San Luis Potosi,Mexico,informal,?,t,22.1414209999999,-101.013955,Mcdonalds Parque Tangamanga,none,medium,not permitted,SLP,?,78290,42,0
student,solitary,medium,blue,informal,abstemious,1.81,independent,technology,22.143524,-100.987562,single,thrifty-protector,Catholic,False,public,76,familiar,completely,?,Full_Bar,closed,?,Mexico,informal,?,f,22.1489337,-101.019844999999,Gordas de morales,none,medium,section,San Luis Potosi,?,?,42,1
student,solitary,medium,blue,informal,abstemious,1.81,independent,technology,22.143524,-100.987562,single,thrifty-protector,Catholic,False,public,76,familiar,no_accessibility,Agricultura 595 del Valle,No_Alcohol_Served,closed,San Luis Potosi,Mexico,informal,?,f,22.141282,-101.002957999999,Restaurante El Reyecito,none,medium,none,SLP,reyecito.com,78200,42,0
student,solitary,medium,blue,informal,abstemious,1.81,independent,technology,22.143524,-100.987562,single,thrifty-protector,Catholic,False,public,76,familiar,no_accessibility,Munoz Sn Centro,No_Alcohol_Served,closed,San Luis Potosi,Mexico,informal,?,t,22.165587,-101.001273,Restaurante Tiberius,none,medium,none,SLP,?,64000,42,0
student,family,medium,red,formal,casual drinker,1.84,independent,technology,22.078728499999755,-99.243697,single,hard-worker,Catholic,False,public,97,familiar,completely,Emiliano Zapata No. 825 Tlaltenongo,Wine-Beer,closed,Cuernavaca,Mexico,informal,?,t,22.122991749999997,-100.8445762,Vips,none,medium,none,Morelos,?,62170,37,0
student,family,medium,red,formal,casual drinker,1.84,independent,technology,22.078728499999755,-99.243697,single,hard-worker,Catholic,False,public,97,familiar,no_accessibility,Domingo 10 711 El Empleado,Full_Bar,closed,Cuernavaca,Mexico,informal,?,f,22.122991749999997,-100.8445762,Restaurant and Bar and Clothesline Carlos N Charlies,none,high,section,Morelos,carlosandcharlies.com,62250,37,1
student,family,medium,red,formal,casual drinker,1.84,independent,technology,22.078728499999755,-99.243697,single,hard-worker,Catholic,False,public,97,familiar,no_accessibility,Lomas del Mirador,Wine-Beer,closed,Cuernavaca,Mexico,informal,?,t,22.122991749999997,-100.8445762,Sanborns Casa Piedra,Internet,medium,only at bar,Morelos,?,?,37,1
student,family,medium,blue,no preference,casual drinker,1.67,independent,variety,22.078728499999755,-99.183251,single,thrifty-protector,Catholic,True,car owner,80,familiar,completely,Paseo de Las Fuentes 24 Pedregal de Las Fuentes,No_Alcohol_Served,closed,Jiutepec,Mexico,informal,?,f,22.122991749999997,-100.8445762,Restaurant Bar Coty y Pablo,none,low,none,Morelos,?,?,35,1
student,family,medium,blue,no preference,casual drinker,1.67,independent,variety,22.078728499999755,-99.183251,single,thrifty-protector,Catholic,True,car owner,80,familiar,no_accessibility,Lomas del Mirador,Wine-Beer,closed,Cuernavaca,Mexico,informal,?,t,22.122991749999997,-100.8445762,Sanborns Casa Piedra,Internet,medium,only at bar,Morelos,?,?,35,1
student,family,medium,blue,no preference,casual drinker,1.67,independent,variety,22.078728499999755,-99.183251,single,thrifty-protector,Catholic,True,car owner,80,familiar,completely,Emiliano Zapata No. 825 Tlaltenongo,Wine-Beer,closed,Cuernavaca,Mexico,informal,?,t,22.122991749999997,-100.8445762,Vips,none,medium,none,Morelos,?,62170,35,1
student,family,medium,blue,no preference,casual drinker,1.67,independent,variety,22.078728499999755,-99.183251,single,thrifty-protector,Catholic,True,car owner,80,familiar,no_accessibility,?,No_Alcohol_Served,closed,?,?,informal,?,f,22.122991749999997,-100.8445762,Log Yin,none,low,none,?,?,?,35,1
student,family,medium,blue,no preference,casual drinker,1.67,independent,variety,22.078728499999755,-99.183251,single,thrifty-protector,Catholic,True,car owner,80,familiar,no_accessibility,Revolucion,No_Alcohol_Served,closed,Cuernavaca,Mexico,informal,?,f,22.122991749999997,-100.8445762,Kiku Cuernavaca,none,medium,none,Morelos,kikucuernavaca.com.mx,?,35,1
student,family,medium,black,formal,casual drinker,1.75,independent,eco-friendly,22.078728499999755,-99.1827579999999,single,hard-worker,Catholic,False,on foot,64,familiar,completely,Libramiento Burgos Colonia Las Animas,Full_Bar,open,Cuernavaca,Mexico,informal,?,f,22.122991749999997,-100.8445762,El Oceano Dorado,variety,medium,permitted,Morelos,eloceanodorado.com,?,34,1
student,family,medium,blue,no preference,casual drinker,1.67,independent,variety,22.078728499999755,-99.183251,single,thrifty-protector,Catholic,True,car owner,80,familiar,no_accessibility,40 Norte Civac 1RA. Seccion,No_Alcohol_Served,closed,Jiutepec,Mexico,informal,?,f,22.122991749999997,-100.8445762,Giovannis,none,low,none,Morelos,?,?,35,1
student,family,medium,black,formal,casual drinker,1.75,independent,eco-friendly,22.078728499999755,-99.1827579999999,single,hard-worker,Catholic,False,on foot,64,familiar,no_accessibility,Ricardo Linares 107,Wine-Beer,closed,Cuernavaca,Mexico,formal,?,f,22.122991749999997,-100.8445762,Restaurant Las Mananitas,none,high,none,Morelos,lasmananitas.com.mx,?,34,1
student,family,medium,red,formal,casual drinker,1.84,independent,technology,22.078728499999755,-99.243697,single,hard-worker,Catholic,False,public,97,familiar,no_accessibility,Ricardo Linares 107,Wine-Beer,closed,Cuernavaca,Mexico,formal,?,f,22.122991749999997,-100.8445762,Restaurant Las Mananitas,none,high,none,Morelos,lasmananitas.com.mx,?,37,1
student,family,medium,red,formal,casual drinker,1.84,independent,technology,22.078728499999755,-99.243697,single,hard-worker,Catholic,False,public,97,familiar,completely,Libramiento Burgos Colonia Las Animas,Full_Bar,open,Cuernavaca,Mexico,informal,?,f,22.122991749999997,-100.8445762,El Oceano Dorado,variety,medium,permitted,Morelos,eloceanodorado.com,?,37,1
